step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
399,CASH_IN,13507.71,C1986457268,22028.0,35535.71,C1658708496,0.0,0.0,0,0
249,PAYMENT,6489.64,C1910830746,105873.0,99383.36,M465617991,0.0,0.0,0,0
182,TRANSFER,1191627.15,C197284190,20623.0,0.0,C444228469,53662.05,1245289.21,0,0
407,PAYMENT,7797.98,C653191580,22915.0,15117.02,M955375489,0.0,0.0,0,0
15,CASH_OUT,67059.99,C1223323587,61956.0,0.0,C1585238239,0.0,67059.99,0,0
213,PAYMENT,17904.32,C133617254,0.0,0.0,M455459998,0.0,0.0,0,0
20,PAYMENT,11019.73,C1753566665,15357.0,4337.27,M1474679286,0.0,0.0,0,0
33,CASH_IN,33540.67,C706242897,3084437.52,3117978.19,C1896985362,6735062.45,6701521.77,0,0
469,PAYMENT,2746.87,C1933702424,0.0,0.0,M1328224361,0.0,0.0,0,0
141,PAYMENT,3838.63,C1501922348,0.0,0.0,M1216984060,0.0,0.0,0,0
162,PAYMENT,7347.49,C602637773,0.0,0.0,M470190589,0.0,0.0,0,0
19,CASH_IN,231841.57,C1648641854,14347.0,246188.57,C177641267,0.0,0.0,0,0
357,CASH_IN,317703.47,C505353976,4564.0,322267.47,C278234392,1844346.84,1526643.38,0,0
10,CASH_OUT,421305.82,C942278749,705098.93,283793.12,C822258436,0.0,342011.23,0,0
283,CASH_OUT,128623.45,C750356947,126189.0,0.0,C98091710,1.229533E7,1.242395346E7,0,0
211,PAYMENT,7917.95,C1144507117,1068.0,0.0,M70630337,0.0,0.0,0,0
379,CASH_IN,382481.21,C41702416,2.893288953E7,2.931537074E7,C1139728583,3603549.56,3300358.95,0,0
40,PAYMENT,32299.22,C1633918276,41616.0,9316.78,M383806887,0.0,0.0,0,0
259,PAYMENT,15916.9,C36771063,0.0,0.0,M1494499205,0.0,0.0,0,0
138,PAYMENT,27343.91,C1864324,0.0,0.0,M522384636,0.0,0.0,0,0
15,PAYMENT,9071.99,C1026602268,99304.03,90232.04,M1034788393,0.0,0.0,0,0
252,TRANSFER,254453.26,C924258995,21523.0,0.0,C969857018,0.0,254453.26,0,0
162,CASH_OUT,44518.98,C1270659866,107878.0,63359.02,C17043640,0.0,44518.98,0,0
203,CASH_OUT,257046.49,C254282837,571.0,0.0,C154222485,0.0,257046.49,0,0
138,CASH_OUT,274752.49,C635172978,0.0,0.0,C1704155253,1487552.71,1762305.2,0,0
397,TRANSFER,422692.49,C1222643182,21348.0,0.0,C558777896,269137.1,691829.6,0,0
257,CASH_OUT,151779.84,C877756325,9096.0,0.0,C1665632123,124454.02,276233.86,0,0
373,CASH_OUT,124870.63,C1298034769,0.0,0.0,C1485647504,7390912.59,7515783.23,0,0
186,PAYMENT,11729.64,C668721091,0.0,0.0,M2080245987,0.0,0.0,0,0
204,PAYMENT,5124.61,C1229588798,0.0,0.0,M1220504628,0.0,0.0,0,0
201,PAYMENT,5686.89,C1168943468,0.0,0.0,M744675336,0.0,0.0,0,0
226,CASH_IN,24479.51,C161875343,18895.0,43374.51,C767410325,0.0,0.0,0,0
405,PAYMENT,4393.54,C627442302,0.0,0.0,M706756336,0.0,0.0,0,0
372,TRANSFER,581702.28,C1812488660,0.0,0.0,C272298323,680994.25,1262696.53,0,0
253,CASH_OUT,129020.89,C275969885,52258.0,0.0,C697710221,0.0,129020.89,0,0
372,CASH_OUT,31860.02,C1979909513,909.0,0.0,C29496798,259818.85,73870.67,0,0
378,CASH_IN,8554.0,C83115944,3268314.39,3276868.39,C1886067965,2568309.47,2559755.47,0,0
265,CASH_IN,75358.04,C1413502690,4150950.35,4226308.4,C1129835410,1347510.29,1272152.25,0,0
210,CASH_OUT,78610.11,C1518604484,11147.0,0.0,C1619864593,388573.15,467183.26,0,0
158,CASH_OUT,72313.87,C2046688730,211.0,0.0,C449749614,67811.34,140125.21,0,0
33,TRANSFER,440911.64,C1004511805,355601.0,0.0,C946521685,599276.9,1040188.54,0,0
283,PAYMENT,4286.08,C1906177312,308.0,0.0,M1741944908,0.0,0.0,0,0
403,CASH_OUT,416406.99,C1575366091,0.0,0.0,C1702494567,525556.45,941963.44,0,0
360,CASH_OUT,203593.44,C1456483428,0.0,0.0,C1990505640,731229.9,934823.34,0,0
571,CASH_IN,165996.04,C1150272287,6479064.34,6645060.38,C900196246,1411482.48,1245486.44,0,0
133,PAYMENT,24855.37,C1890895040,0.0,0.0,M934340838,0.0,0.0,0,0
182,PAYMENT,212.75,C1744083709,0.0,0.0,M456003139,0.0,0.0,0,0
184,CASH_OUT,99873.08,C2003377009,37815.0,0.0,C683865367,0.0,99873.08,0,0
251,PAYMENT,13241.42,C179057985,0.0,0.0,M236193165,0.0,0.0,0,0
135,PAYMENT,8343.17,C417056048,0.0,0.0,M1761699065,0.0,0.0,0,0
158,PAYMENT,8934.62,C1877614468,4017.0,0.0,M1127415438,0.0,0.0,0,0
380,PAYMENT,3817.85,C1392011805,23330.84,19512.99,M608856174,0.0,0.0,0,0
404,PAYMENT,4395.61,C663101361,309308.0,304912.39,M2034146988,0.0,0.0,0,0
324,CASH_OUT,680307.78,C1015572185,19901.0,0.0,C61890457,474115.83,1154423.61,0,0
187,CASH_OUT,20987.32,C1752703098,0.0,0.0,C721106192,5696838.5,5717825.82,0,0
356,CASH_IN,94286.87,C1995257099,33189.0,127475.87,C1628544390,359257.07,264970.2,0,0
379,PAYMENT,5522.28,C1423202807,0.0,0.0,M1723630146,0.0,0.0,0,0
130,PAYMENT,25998.38,C1998712170,21432.0,0.0,M74170204,0.0,0.0,0,0
372,PAYMENT,43591.16,C289357589,0.0,0.0,M85960442,0.0,0.0,0,0
153,CASH_IN,177684.8,C1122757845,723677.01,901361.81,C703376746,1112812.27,935127.47,0,0
254,PAYMENT,1127.43,C2071780704,0.0,0.0,M528413508,0.0,0.0,0,0
155,TRANSFER,184494.56,C1875551401,1818.19,0.0,C1153029748,316310.64,594239.64,0,0
201,PAYMENT,11489.61,C1976455600,5392.0,0.0,M347502595,0.0,0.0,0,0
231,CASH_OUT,127170.47,C2118892682,22497.0,0.0,C661433384,0.0,127170.47,0,0
326,CASH_IN,170006.25,C842443523,3801236.89,3971243.14,C1000038201,709476.38,539470.12,0,0
160,CASH_OUT,31175.07,C1537238398,61011.0,29835.93,C46034591,492016.11,523191.18,0,0
323,PAYMENT,8787.3,C649438948,0.0,0.0,M1613140803,0.0,0.0,0,0
327,CASH_OUT,12695.83,C1616146724,0.0,0.0,C522285332,71348.34,84044.17,0,0
16,CASH_IN,21565.68,C528404305,4920.0,26485.68,C1234645167,315851.71,294286.04,0,0
185,TRANSFER,1908486.06,C804219541,15645.0,0.0,C831775261,3320788.55,4886875.1,0,0
11,CASH_OUT,107139.13,C532820079,260116.0,152976.87,C882324675,38351.47,145490.6,0,0
10,PAYMENT,31707.96,C855667042,62528.0,30820.04,M1288088168,0.0,0.0,0,0
274,CASH_IN,79179.67,C2034289627,73416.0,152595.67,C506046490,7883920.97,7804741.3,0,0
398,CASH_OUT,32842.58,C1316290021,22872.21,0.0,C1147773905,494358.54,527201.12,0,0
394,CASH_IN,44772.75,C867002122,31366.0,76138.75,C1005515759,67829.58,23056.83,0,0
327,CASH_IN,114468.45,C491606854,1.064855734E7,1.076302579E7,C487596311,3851870.51,3737402.06,0,0
15,CASH_OUT,41983.83,C354663385,0.0,0.0,C1156099236,116959.68,158943.52,0,0
323,CASH_OUT,38542.71,C1463882525,0.0,0.0,C1240467233,109906.09,148448.79,0,0
134,PAYMENT,37049.05,C720305598,569550.57,532501.52,M1284979985,0.0,0.0,0,0
18,CASH_OUT,86040.68,C644211653,1806278.63,1720237.95,C1633128179,3215745.73,3301786.41,0,0
129,PAYMENT,7549.11,C440297674,27368.0,19818.89,M519996712,0.0,0.0,0,0
378,PAYMENT,7772.92,C307378174,0.0,0.0,M918673708,0.0,0.0,0,0
142,CASH_OUT,118350.03,C1113421285,59440.0,0.0,C2109259119,1361976.22,1480326.25,0,0
45,PAYMENT,226.76,C1306765841,564921.0,564694.24,M1661842805,0.0,0.0,0,0
286,PAYMENT,2696.3,C1573479954,24130.0,21433.7,M1987558058,0.0,0.0,0,0
37,PAYMENT,5339.0,C94206525,2357.0,0.0,M504618273,0.0,0.0,0,0
352,CASH_OUT,76605.94,C818275329,40365.0,0.0,C1523274022,980459.19,1057065.13,0,0
309,CASH_OUT,156718.98,C1900644709,0.0,0.0,C484759916,8682895.71,8839614.68,0,0
395,PAYMENT,29762.83,C478585725,77903.61,48140.77,M1033461299,0.0,0.0,0,0
17,CASH_OUT,145123.81,C1080853433,48714.0,0.0,C728857806,343291.58,488415.39,0,0
154,CASH_IN,76014.96,C747429922,39643.0,115657.96,C151034382,0.0,0.0,0,0
36,CASH_IN,247697.56,C344898593,7798611.75,8046309.31,C860589720,783922.46,536224.9,0,0
369,CASH_OUT,88779.65,C988548740,0.0,0.0,C1396159473,1094940.61,1183720.26,0,0
180,CASH_IN,238740.96,C2021802094,2.693947334E7,2.71782143E7,C764744375,2496259.67,2257518.71,0,0
355,CASH_OUT,234818.86,C1860351369,0.0,0.0,C335183145,620815.17,855634.03,0,0
228,TRANSFER,1073510.05,C254966505,0.0,0.0,C1579001225,2987986.39,4061496.44,0,0
139,CASH_IN,249477.69,C1569945548,200239.0,449716.69,C793059779,4944153.48,4694675.79,0,0
495,CASH_IN,178979.06,C1368753056,10857.0,189836.06,C1279790470,349324.64,170345.59,0,0
250,TRANSFER,434556.91,C877194804,0.0,0.0,C882639677,2799400.99,3233957.89,0,0
307,CASH_IN,279517.25,C1225787575,2715681.37,2995198.62,C1261165204,699032.34,419515.09,0,0
180,PAYMENT,1814.2,C415413663,16518.0,14703.8,M1501162003,0.0,0.0,0,0
256,CASH_OUT,176488.0,C1548059721,0.0,0.0,C17273655,3159623.55,3336111.55,0,0
249,CASH_IN,154160.08,C1696330505,2.131116882E7,2.14653289E7,C1088773597,2754194.93,2600034.85,0,0
235,CASH_IN,147106.48,C1950188147,3779688.5,3926794.98,C1236502095,633530.12,486423.64,0,0
356,CASH_OUT,148769.21,C334294874,0.0,0.0,C1516271406,675430.19,824199.41,0,0
280,PAYMENT,17052.42,C1772843883,4042.0,0.0,M856650403,0.0,0.0,0,0
596,CASH_OUT,350561.55,C1047809309,0.0,0.0,C816224516,660555.45,1011117.0,0,0
37,CASH_OUT,36521.0,C380226097,7595.0,0.0,C884508954,0.0,36521.0,0,0
302,CASH_OUT,70001.2,C1195936391,0.0,0.0,C1284248967,4311148.47,4381149.67,0,0
324,CASH_OUT,451713.65,C2027135889,25404.0,0.0,C1694713844,153783.33,605496.98,0,0
373,CASH_OUT,71277.11,C682656100,0.0,0.0,C116994503,704358.22,775635.33,0,0
209,PAYMENT,4113.15,C236050849,101063.0,96949.85,M656715830,0.0,0.0,0,0
401,PAYMENT,30721.43,C2127798878,0.0,0.0,M484718969,0.0,0.0,0,0
331,CASH_IN,181245.51,C1713353779,103361.0,284606.51,C1296904367,0.0,0.0,0,0
225,TRANSFER,911012.09,C479554473,0.0,0.0,C9422261,1156226.28,2067238.37,0,0
7,CASH_OUT,100812.25,C1530469330,0.0,0.0,C1401721023,120585.82,1602681.63,0,0
326,PAYMENT,43554.61,C1888269673,0.0,0.0,M2028939028,0.0,0.0,0,0
137,PAYMENT,23410.3,C738026258,33183.0,9772.7,M666341151,0.0,0.0,0,0
183,TRANSFER,830981.14,C1670508833,35535.0,0.0,C814041591,0.0,830981.14,0,0
347,CASH_OUT,188346.06,C152324216,3047.0,0.0,C1445603464,581475.49,769821.55,0,0
371,CASH_OUT,476500.07,C1977409613,403727.15,0.0,C254098850,858085.66,1334585.73,0,0
180,PAYMENT,3832.39,C676356428,0.0,0.0,M1184183082,0.0,0.0,0,0
233,PAYMENT,27161.0,C201973088,21549.0,0.0,M709618501,0.0,0.0,0,0
183,CASH_OUT,75807.31,C1983101458,52592.0,0.0,C623837782,0.0,75807.31,0,0
16,PAYMENT,5280.42,C1547757946,19563.0,14282.58,M1697617491,0.0,0.0,0,0
356,PAYMENT,6725.3,C1206763038,0.0,0.0,M1679348834,0.0,0.0,0,0
402,CASH_OUT,202420.3,C388338329,0.0,0.0,C995186030,1005298.12,1207718.42,0,0
403,PAYMENT,6219.93,C1312455805,403993.0,397773.07,M580635374,0.0,0.0,0,0
134,CASH_OUT,87191.64,C2080873520,20771.0,0.0,C396702195,0.0,87191.64,0,0
376,CASH_OUT,299319.44,C588616357,0.0,0.0,C751931213,1988096.91,2287416.35,0,0
187,TRANSFER,246695.17,C1980166246,41682.0,0.0,C1144527317,667752.85,914448.02,0,0
205,CASH_IN,195076.58,C342521255,5853.0,200929.58,C2024088449,9764061.91,9568985.33,0,0
260,CASH_OUT,207405.74,C565266102,704.0,0.0,C292579746,0.0,207405.74,0,0
259,TRANSFER,227557.26,C2145407229,42977.0,0.0,C2133727128,885186.24,1112743.5,0,0
354,CASH_OUT,115647.87,C939017766,0.0,0.0,C1999098347,232064.27,347712.14,0,0
239,PAYMENT,679.95,C281111765,20461.0,19781.05,M49348191,0.0,0.0,0,0
37,PAYMENT,2301.03,C1070344857,250761.72,248460.69,M428422901,0.0,0.0,0,0
589,PAYMENT,19491.05,C634070143,178.0,0.0,M900264073,0.0,0.0,0,0
526,PAYMENT,24075.48,C2078277595,0.0,0.0,M722279758,0.0,0.0,0,0
178,CASH_IN,43284.23,C506806572,5861351.94,5904636.16,C1611874445,4824906.61,4781622.38,0,0
186,CASH_OUT,73024.68,C1701115929,198036.0,125011.32,C1572549318,175766.24,248790.92,0,0
11,CASH_IN,95235.16,C1159799037,4876954.45,4972189.61,C209217337,348097.37,252862.21,0,0
210,CASH_OUT,172297.74,C497616962,0.0,0.0,C1213532879,469472.28,641770.03,0,0
428,CASH_IN,106904.47,C1088676205,2047112.51,2154016.98,C1909513126,616768.75,509864.28,0,0
323,PAYMENT,3032.38,C389333931,10023.0,6990.62,M705158254,0.0,0.0,0,0
356,CASH_OUT,120568.5,C1113268284,0.0,0.0,C185219441,465496.65,586065.15,0,0
304,PAYMENT,20690.76,C1698767786,0.0,0.0,M1286024000,0.0,0.0,0,0
589,PAYMENT,3643.81,C565132252,0.0,0.0,M104437453,0.0,0.0,0,0
23,PAYMENT,4918.0,C1315670624,135918.33,131000.32,M186907904,0.0,0.0,0,0
300,CASH_IN,382549.47,C298672651,215966.0,598515.47,C971678387,259689.79,0.0,0,0
323,PAYMENT,11408.34,C813880080,0.0,0.0,M908549716,0.0,0.0,0,0
326,CASH_IN,550123.54,C479940361,9538763.7,1.008888724E7,C1055778074,1024013.43,473889.88,0,0
304,CASH_IN,461709.73,C274531573,1.078026443E7,1.124197417E7,C241588876,1009365.58,547655.85,0,0
259,CASH_OUT,216301.07,C884936682,63317.0,0.0,C1344443984,379.0,314814.78,0,0
399,PAYMENT,29763.54,C1778172465,1575.0,0.0,M2109282962,0.0,0.0,0,0
330,CASH_IN,111656.52,C930903628,3959.0,115615.52,C1781208708,439570.88,327914.36,0,0
695,CASH_OUT,39102.02,C283621315,197600.0,158497.98,C1951129413,5639.27,44741.29,0,0
160,CASH_IN,220798.13,C239846980,6725391.88,6946190.01,C165794005,700695.21,479897.08,0,0
249,CASH_OUT,108885.56,C1795134205,28182.0,0.0,C767496558,1.260638331E7,1.271526887E7,0,0
358,CASH_IN,92784.92,C267253701,1.124318095E7,1.133596587E7,C299086533,2432355.9,2339570.99,0,0
260,PAYMENT,3707.06,C926578150,154406.29,150699.24,M1397470473,0.0,0.0,0,0
213,CASH_IN,169719.6,C1073085314,7633014.64,7802734.24,C176798636,3875191.49,3705471.89,0,0
400,PAYMENT,40266.4,C17053133,28270.24,0.0,M71269007,0.0,0.0,0,0
205,PAYMENT,1651.66,C1077350596,18536.0,16884.34,M616875782,0.0,0.0,0,0
17,PAYMENT,21083.16,C1700372277,800741.0,779657.84,M1695592822,0.0,0.0,0,0
48,PAYMENT,14659.46,C286711895,110341.0,95681.54,M202736880,0.0,0.0,0,0
379,PAYMENT,16116.31,C1466585739,13742.0,0.0,M1994553945,0.0,0.0,0,0
322,CASH_OUT,498493.77,C174700855,10841.0,0.0,C1293460507,378774.03,877267.8,0,0
138,PAYMENT,11709.06,C1343460802,218737.97,207028.91,M1166479503,0.0,0.0,0,0
258,CASH_OUT,9535.55,C1544942710,31962.0,22426.45,C1352387507,0.0,9535.55,0,0
188,CASH_IN,153850.61,C1079813820,1027396.32,1181246.93,C428283126,961459.94,807609.33,0,0
334,PAYMENT,6254.88,C1714209526,0.0,0.0,M1967174464,0.0,0.0,0,0
255,CASH_OUT,124741.91,C1445506175,0.0,0.0,C855960422,603218.31,727960.22,0,0
46,CASH_IN,95459.51,C1230953823,49158.0,144617.51,C2107843314,0.0,0.0,0,0
301,CASH_OUT,247633.61,C1302251011,0.0,0.0,C1174416273,908369.43,1156003.04,0,0
129,PAYMENT,2479.36,C1866986199,0.0,0.0,M1026666875,0.0,0.0,0,0
379,TRANSFER,350430.07,C1939027251,117520.0,0.0,C925753329,0.0,350430.07,0,0
136,CASH_OUT,33962.03,C1428531281,0.0,0.0,C623008408,9746450.97,9780413.0,0,0
407,PAYMENT,993.47,C1407417275,2539.0,1545.53,M898131102,0.0,0.0,0,0
13,TRANSFER,119990.87,C1868744800,92735.39,0.0,C1962347131,1232668.09,1352658.96,0,0
154,CASH_OUT,250879.62,C1022622081,20257.0,0.0,C1515116163,534087.9,784967.52,0,0
210,CASH_OUT,130443.77,C1100869202,307570.0,177126.23,C2106932736,5068.0,89577.6,0,0
274,CASH_OUT,144207.33,C1099606182,886682.0,742474.67,C252711346,1149847.97,1294055.3,0,0
356,CASH_OUT,112736.87,C2089917052,0.0,0.0,C181553674,684292.54,797029.41,0,0
18,CASH_IN,180298.96,C1629590305,10298.0,190596.96,C604756846,95005.87,0.0,0,0
394,CASH_IN,296322.97,C614715120,54.0,296376.97,C1650120198,505575.98,209253.02,0,0
206,TRANSFER,163572.54,C172717553,0.0,0.0,C2144836982,1637117.58,1800690.12,0,0
139,PAYMENT,22929.98,C1283321500,0.0,0.0,M1354668302,0.0,0.0,0,0
261,CASH_OUT,121454.47,C224163189,144943.0,23488.53,C1534114481,0.0,121454.47,0,0
334,PAYMENT,10848.8,C316985828,693.0,0.0,M1948495868,0.0,0.0,0,0
323,CASH_OUT,343977.61,C1830735434,127158.0,0.0,C188814435,0.0,343977.61,0,0
259,CASH_IN,122602.53,C2024259876,5251661.57,5374264.1,C180657591,183428.95,60826.42,0,0
253,PAYMENT,3529.01,C1472165549,0.0,0.0,M929196147,0.0,0.0,0,0
230,CASH_OUT,220286.9,C994162279,0.0,0.0,C409798595,354356.38,574643.27,0,0
321,PAYMENT,16605.64,C76375909,0.0,0.0,M580566955,0.0,0.0,0,0
16,CASH_OUT,51676.17,C1563918795,30005.0,0.0,C1960870542,442845.3,494521.47,0,0
15,CASH_OUT,75775.41,C1022541947,5341.0,0.0,C83507687,46189.08,121964.48,0,0
11,PAYMENT,2978.32,C556298497,13890.0,10911.68,M536890387,0.0,0.0,0,0
12,CASH_OUT,358379.97,C688525479,141191.92,0.0,C715819458,5127117.25,5485497.21,0,0
382,PAYMENT,2408.27,C191597260,144.0,0.0,M1023536075,0.0,0.0,0,0
206,PAYMENT,2125.43,C649736313,0.0,0.0,M1381322307,0.0,0.0,0,0
378,CASH_OUT,73987.65,C1684158695,0.0,0.0,C1113377302,1175784.53,1249772.19,0,0
355,PAYMENT,9580.9,C1827547323,0.0,0.0,M209498896,0.0,0.0,0,0
393,PAYMENT,49592.33,C1719409708,0.0,0.0,M1805055901,0.0,0.0,0,0
45,PAYMENT,1375.96,C1544359915,0.0,0.0,M1578159637,0.0,0.0,0,0
297,PAYMENT,50662.63,C18395439,11571.0,0.0,M1271874942,0.0,0.0,0,0
594,CASH_IN,392069.12,C1537750307,160453.0,552522.12,C1391956953,4721209.13,4329140.01,0,0
402,CASH_IN,19607.95,C1745525369,21299.0,40906.95,C90025615,44483.45,24875.5,0,0
323,CASH_IN,39281.77,C2066901862,30777.0,70058.77,C631405785,315260.47,275978.7,0,0
138,CASH_IN,177235.5,C1185448240,4837063.45,5014298.95,C1641566607,1682455.24,1505219.74,0,0
287,CASH_OUT,268465.9,C1045336207,104606.77,0.0,C1164648757,2834822.86,3103288.76,0,0
35,CASH_IN,203795.64,C1335927830,2937586.82,3141382.45,C1335058396,1115093.38,911297.75,0,0
373,PAYMENT,9463.58,C941077896,96422.86,86959.28,M1918465913,0.0,0.0,0,0
203,CASH_OUT,1809.13,C1406191455,13166.0,11356.87,C124315438,549824.62,551633.75,0,0
397,PAYMENT,20836.1,C1216035272,21034.0,197.9,M1298534048,0.0,0.0,0,0
212,PAYMENT,18620.52,C1795170066,74954.23,56333.71,M1907300342,0.0,0.0,0,0
546,CASH_OUT,55517.85,C1558967414,0.0,0.0,C860033582,1.255088649E7,1.260640434E7,0,0
328,CASH_IN,145306.51,C1317650967,5926298.95,6071605.46,C453967777,170595.34,25288.83,0,0
370,PAYMENT,34734.24,C1795605357,13115.74,0.0,M1304117900,0.0,0.0,0,0
249,CASH_OUT,62413.47,C7545511,0.0,0.0,C378358322,527360.69,589774.16,0,0
352,CASH_IN,135244.31,C389583838,84568.0,219812.31,C1237653388,0.0,0.0,0,0
211,PAYMENT,7103.81,C391357317,80390.0,73286.19,M1283033880,0.0,0.0,0,0
326,CASH_IN,140566.47,C1441600098,1.24253864E7,1.256595287E7,C913255016,2102226.53,1961660.06,0,0
297,PAYMENT,1197.9,C2035144847,0.0,0.0,M865929875,0.0,0.0,0,0
189,CASH_OUT,97425.34,C1582546329,0.0,0.0,C1497565561,128667.27,226092.61,0,0
153,TRANSFER,388220.79,C1017377982,0.0,0.0,C55926460,3389065.65,3777286.45,0,0
132,CASH_IN,97028.14,C1252581039,1111118.15,1208146.28,C812796443,1541899.53,1444871.39,0,0
136,PAYMENT,830.34,C1173716961,75586.0,74755.66,M326388609,0.0,0.0,0,0
310,PAYMENT,5928.25,C1211544082,52425.0,46496.75,M361483489,0.0,0.0,0,0
203,CASH_OUT,104609.29,C928935029,51769.0,0.0,C1721246982,2.222789538E7,2.233250468E7,0,0
187,CASH_OUT,285006.69,C847438067,99225.0,0.0,C829449116,0.0,285006.69,0,0
40,CASH_OUT,186891.5,C1441778945,0.0,0.0,C2123141953,256050.13,442941.64,0,0
163,PAYMENT,10502.24,C231950835,382.0,0.0,M1807045536,0.0,0.0,0,0
404,TRANSFER,574317.55,C93497759,99461.0,0.0,C372763607,143864.11,718181.66,0,0
492,PAYMENT,35426.36,C256129534,51218.0,15791.64,M1336055239,0.0,0.0,0,0
186,DEBIT,352.05,C1727672207,4323.0,3970.95,C480167479,3553318.57,3553670.61,0,0
282,PAYMENT,12937.3,C858794675,0.0,0.0,M164814133,0.0,0.0,0,0
203,PAYMENT,23572.09,C418749310,0.0,0.0,M695213692,0.0,0.0,0,0
307,CASH_IN,122326.76,C371131193,19866.0,142192.76,C859447605,8333103.75,8210776.99,0,0
153,TRANSFER,915952.37,C957850513,0.0,0.0,C786501558,1128285.87,2607126.42,0,0
283,CASH_OUT,371281.95,C235760691,187697.0,0.0,C793088752,52069.11,423351.06,0,0
350,CASH_OUT,122155.47,C1816459638,0.0,0.0,C79750262,1964563.27,2086718.74,0,0
352,CASH_OUT,191349.1,C1562121048,0.0,0.0,C1510143542,422712.4,614061.5,0,0
400,CASH_OUT,37354.18,C1627906676,0.0,0.0,C2044742166,295593.58,332947.76,0,0
405,CASH_IN,367548.76,C1723618617,444246.0,811794.76,C1870035241,160156.73,0.0,0,0
325,CASH_IN,78706.81,C1906958945,1.276674698E7,1.284545379E7,C1314511293,2564259.18,2485552.37,0,0
232,CASH_IN,149580.45,C718287699,7221.0,156801.45,C643057091,97950.32,0.0,0,0
284,CASH_IN,112697.66,C2064087882,5258085.28,5370782.94,C548746436,302751.9,190054.24,0,0
285,PAYMENT,16872.23,C299092283,0.0,0.0,M1418940424,0.0,0.0,0,0
354,CASH_OUT,36257.65,C1122055146,0.0,0.0,C2019568421,72968.97,109226.62,0,0
213,PAYMENT,13673.75,C946134780,0.0,0.0,M281502809,0.0,0.0,0,0
40,CASH_OUT,45709.13,C386762597,24303.0,0.0,C525700596,0.0,45709.13,0,0
154,CASH_IN,347818.77,C1556487174,3844358.69,4192177.47,C315112900,4148510.42,3800691.65,0,0
332,CASH_IN,205389.02,C81397965,60.0,205449.02,C265145308,0.0,0.0,0,0
371,PAYMENT,22335.6,C1167277291,107645.0,85309.4,M1684796071,0.0,0.0,0,0
304,CASH_IN,336389.63,C1289078256,5133.0,341522.63,C1460630252,88770.99,0.0,0,0
226,PAYMENT,9112.44,C173114479,0.0,0.0,M37142313,0.0,0.0,0,0
257,PAYMENT,12785.48,C111709209,173234.0,160448.52,M242193726,0.0,0.0,0,0
203,CASH_IN,117053.02,C186509873,2549030.53,2666083.55,C1994518409,325788.03,208735.01,0,0
282,CASH_OUT,24263.42,C408828626,0.0,0.0,C586025609,231004.84,255268.26,0,0
379,TRANSFER,25850.97,C1644779226,25102.0,0.0,C239879806,0.0,25850.97,0,0
205,CASH_OUT,298125.13,C787321430,105141.0,0.0,C2058711491,4263458.9,4561584.03,0,0
165,CASH_IN,104768.89,C1628614143,2.012042229E7,2.022519118E7,C476216414,443157.14,338388.25,0,0
691,CASH_OUT,215632.02,C429520918,18632.0,0.0,C2078320647,173547.76,389179.79,0,0
403,CASH_OUT,6708.9,C2059214613,0.0,0.0,C1990463803,1562959.61,1569668.51,0,0
